	Alkylating agent, Other	Anthracyclines	Antimetabolite	Camptothecin analogs	Chromomycins	Hydrazines and Triazines	Mustard gas derivative	Platinums	Podophyllotoxins	Vinca alkaloids
0:homdel:0-100kb	3.9111663e-05	0.08288978	8.375412e-05	0.03682376	3.0531166e-06	0.008460774	0.023601146	0.00036621172	0.01683331	0.06691984
0:homdel:100kb-1Mb	0.0055679483	0.025781682	0.54232776	0.003365577	0.004322043	0.023963606	0.0072316746	0.0035127962	0.026160078	0.004424726
0:homdel:>1Mb	0.0130603975	0.029798703	0.0011513369	0.009260519	0.0048534777	0.0030730113	0.027357716	0.018246131	0.033218104	0.008431105
1:LOH:0-100kb	0.0059349444	0.0061284844	0.000885796	0.023138676	0.0064040455	0.011676366	0.018032292	0.017180238	0.004360977	0.011327455
1:LOH:100kb-1Mb	0.06207789	0.034945656	0.054392647	0.027711516	0.03684965	0.036286462	0.04355517	0.017918384	0.09396937	0.03612484
1:LOH:1Mb-10Mb	0.07358768	0.104749456	0.017949924	0.10204115	0.26999652	0.22212371	0.13431402	0.11396181	0.1632565	0.15320908
1:LOH:10Mb-40Mb	0.099316716	0.026970776	0.0024041648	0.0408729	0.054283082	0.08918419	0.019244108	0.039205693	0.02484225	0.011487287
1:LOH:>40Mb	0.035856396	0.08810375	0.0017250032	0.07088654	0.03596803	0.101155706	0.13372287	0.032730393	0.07819909	0.12682867
2:LOH:0-100kb	0.009055299	0.00654788	0.027789637	0.007970734	0.02399409	0.022260223	0.017080994	0.026300186	0.0027699417	0.025358232
2:LOH:100kb-1Mb	0.054082174	0.07311281	0.055500828	0.033822577	0.017847246	0.015746722	0.01747297	0.021450875	0.048109934	0.0051657045
2:LOH:1Mb-10Mb	0.034416743	0.02380056	0.15494168	0.013135221	0.00809992	0.010752256	0.015659148	0.031815115	0.039451826	0.014964451
2:LOH:10Mb-40Mb	0.031222954	0.021284565	0.0040914123	0.019974018	0.03134201	0.012312219	0.028493088	0.051736098	0.065948844	0.040284928
2:LOH:>40Mb	0.0869178	0.013215628	3.790607e-05	0.02714269	0.003229856	0.0060446043	0.044006344	0.065427154	0.03994242	0.0073586814
3-4:LOH:0-100kb	0.0030081088	0.03043441	0.006341094	0.0029981344	0.00031160866	0.0066448054	0.0017486952	0.000985041	0.009889802	0.036841895
3-4:LOH:100kb-1Mb	0.0023495858	0.026634233	0.041988563	0.046323344	0.007058774	0.0052535725	0.02688495	0.017115818	0.018250406	0.027146082
3-4:LOH:1Mb-10Mb	0.0084927725	0.006845834	0.0020682928	0.0067010997	0.0052004033	0.005582397	0.011868997	0.004792814	0.0090427715	0.0054627513
3-4:LOH:10Mb-40Mb	0.004321136	0.0030658948	0.00021838555	0.0078093535	0.006646749	0.0041092094	0.013223359	0.006009215	0.00066803745	0.0023863125
3-4:LOH:>40Mb	0.0007023561	0.0015121881	0.0	0.0056020077	0.026479093	0.0007820315	0.006216353	0.0021588467	0.0014927166	0.0036492515
5-8:LOH:0-100kb	5.4827804e-05	0.027916878	0.00026899352	0.0013770829	0.0	0.0015781198	0.015756166	7.4695636e-05	0.041774392	0.057709254
5-8:LOH:100kb-1Mb	4.1244733e-05	0.028374074	0.0018975425	0.00048928906	0.00018195009	0.00017732303	0.0292003	0.00339164	0.025545288	0.0017877028
5-8:LOH:1Mb-10Mb	0.0	0.0045345994	0.014967609	0.0010617699	0.0014302706	0.00014321248	0.022107301	0.0005178036	0.008594193	0.0067823166
5-8:LOH:10Mb-40Mb	0.0	0.000110876776	0.0	3.7260406e-06	0.0	0.0	0.00029809435	8.762991e-05	0.0006056656	0.00023600826
5-8:LOH:>40Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.00078550406	0.0	3.5699177e-06	0.00023577032
9+:LOH:0-100kb	0.0	0.00014690166	1.6950376e-05	2.5377028e-06	0.0	7.947294e-06	0.0001885173	0.000107764645	0.00037936872	0.003628832
9+:LOH:100kb-1Mb	1.4110831e-05	0.0009253086	0.0	6.618698e-05	0.0	3.5058758e-05	0.00062383973	5.081187e-05	0.0002214383	0.0015173919
9+:LOH:1Mb-10Mb	0.0	1.676563e-05	0.0	0.0	0.0	0.0	0.00078802183	2.787331e-05	9.334467e-06	0.00089353824
9+:LOH:10Mb-40Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0635666e-06
9+:LOH:>40Mb	0.0	0.0	0.0	0.0	0.0	0.0	3.921805e-06	0.0	0.0	0.0
2:het:0-100kb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2:het:100kb-1Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2:het:1Mb-10Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2:het:10Mb-40Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2:het:>40Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-4:het:0-100kb	0.052969653	0.038629595	0.00013023023	0.015215895	0.014219188	0.036807816	0.011386679	0.008872174	0.018506387	0.003636338
3-4:het:100kb-1Mb	0.0360079	0.047612283	0.0024363098	0.06761131	0.10496384	0.058118213	0.06281263	0.03753448	0.03382504	0.07612817
3-4:het:1Mb-10Mb	0.08353978	0.018408261	0.005926334	0.045074366	0.20991328	0.0677581	0.039785333	0.01863587	0.007052168	0.025018878
3-4:het:10Mb-40Mb	0.12391003	0.041767314	0.007421261	0.16397198	0.023214597	0.12977645	0.053831417	0.14501595	0.06045143	0.0675426
3-4:het:>40Mb	0.12851185	0.04623546	0.0010104178	0.08753623	0.06959668	0.08878074	0.07983272	0.11980083	0.096396774	0.10653279
5-8:het:0-100kb	0.00055678724	0.0027486747	5.644493e-05	0.0046187197	0.00077047315	0.0025801847	0.0069895624	0.0020423178	0.00063135056	0.00032370468
5-8:het:100kb-1Mb	0.014997565	0.01655961	0.007190086	0.014138897	0.021876223	0.006829554	0.013625223	0.005792191	0.008023693	0.041642543
5-8:het:1Mb-10Mb	0.020665053	0.036268663	0.034061745	0.009760379	0.0044574146	0.00951124	0.011585383	0.02545129	0.007517558	0.0094951065
5-8:het:10Mb-40Mb	0.005625072	0.008782338	0.00020423754	0.059888706	0.0037663286	0.0048336233	0.025511451	0.06480269	0.0025141835	0.0013195091
5-8:het:>40Mb	0.0014512817	0.004680439	1.1514104e-05	0.028480422	0.001685519	0.005675782	0.016353589	0.025516253	0.00798993	0.0026676315
9+:het:0-100kb	0.00018828445	0.0028874667	2.8826353e-05	0.0014350853	0.00016241004	0.0005533549	0.0015576897	0.009004636	0.00074745395	0.0009802657
9+:het:100kb-1Mb	0.0014396869	0.043393746	0.0074143256	0.011609436	0.0006573969	0.0006295718	0.014914323	0.044211313	0.0017430866	0.0041428586
9+:het:1Mb-10Mb	1.6866508e-05	0.02417846	0.0030590282	0.0020781488	0.00021478419	0.0007918391	0.0023050325	0.018148987	0.0010613195	0.00035674655
9+:het:10Mb-40Mb	0.0	0.0	0.0	0.0	0.0	0.0	4.3365955e-05	0.0	0.0	4.868614e-05
9+:het:>40Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
