	SBS31_early	SBS31_clonal	SBS35_clonal	SBS31_late	SBS35_late	SBS31_subc	SBS35_subc	SBS35	DBS78H2	SBS31	SBS288L5	DBS5	DBS2	DBS6	ID3	clo_total	wgs_total
I-H-108298-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1868	0.0	0	0.0	60.0	80.0	0.0	0.0	1928.0	0.0
I-H-108319-T1-1-D1-1	0.0	0.0	916.0	0.0	0.0	587.0	0.0	2833	57.0	0	0.0	0.0	25.0	0.0	0.0	4393.0	0.0
I-H-121266-T1-2-D1-1	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
I-H-133675-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	1875.0	1353.0	0	152.0	2848	1427.0	0.0	0.0	0.0	0.0	7655.0	0.0
I-H-134733-T3-2-D1-1	0.0	0.0	2023.0	0.0	194.0	0.0	35.0	0	101.0	0	2880.0	71.0	28.0	0.0	158.0	5304.0	158.0
I-H-135074-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	44.0	0.0	0.0	44.0
I-H-135076-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	82.0	0.0	82.0
I-H-135088-T1-2-D1-1	0.0	553.0	596.0	590.0	796.0	0.0	140.0	1736	44.0	1209	0.0	0.0	27.0	28.0	0.0	5664.0	28.0
I-H-135420-T1-2-D1-1	0.0	268.0	0.0	0.0	22.0	284.0	0.0	0	0.0	569	0.0	0.0	34.0	0.0	0.0	1143.0	0.0
I-H-135967-T1-2-D1-1	400.0	3404.0	0.0	2493.0	0.0	1102.0	0.0	0	70.0	7602	0.0	96.0	39.0	95.0	0.0	15167.0	95.0
I-H-135988-T1-2-D1-1	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	30.0	0.0
I-H-136134-T1-1-D1-1	0.0	1411.0	1333.0	2462.0	2065.0	0.0	567.0	3298	93.0	4590	0.0	68.0	46.0	0.0	234.0	15887.0	234.0
I-H-136375-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	2934.0	3503	217.0	0	0.0	0.0	0.0	0.0	0.0	6654.0	0.0
IID_H136433_T07_01_WG01	0.0	448.0	0.0	0.0	0.0	276.0	0.0	0	0.0	1426	0.0	38.0	0.0	0.0	0.0	2188.0	0.0
IID_H136648_T01_01_WG01	0.0	378.0	0.0	185.0	0.0	1329.0	0.0	0	0.0	1882	0.0	43.0	0.0	0.0	0.0	3817.0	0.0
IID_H136649_T01_01_WG01	0.0	0.0	661.0	0.0	0.0	0.0	0.0	734	0.0	0	0.0	0.0	0.0	0.0	0.0	1395.0	0.0
IID_H156409_T01_01_WG01	72.0	3882.0	0.0	2739.0	0.0	13960.0	0.0	0	149.0	21429	0.0	123.0	86.0	102.0	0.0	42354.0	102.0
IID_H156418_T01_01_WG01	0.0	239.0	0.0	0.0	0.0	0.0	0.0	0	0.0	262	255.0	0.0	0.0	0.0	0.0	756.0	0.0
IID_H158182_T01_01_WG01	0.0	1585.0	1146.0	0.0	21.0	0.0	0.0	1201	114.0	1632	0.0	0.0	25.0	0.0	0.0	5699.0	0.0
IID_H158186_T01_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
IID_H158223_T01_01_WG01	0.0	0.0	1042.0	0.0	376.0	0.0	238.0	0	183.0	0	2469.0	0.0	0.0	0.0	0.0	4308.0	0.0
IID_H158493_T01_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0	0.0	0	1233.0	0.0	25.0	0.0	0.0	1538.0	0.0
KiCS0002_321321	0.0	209.0	127.0	13.0	10.0	10626.0	4080.0	4226	202.0	10876	0.0	152.0	49.0	0.0	337.0	30521.0	337.0
KiCS0003_20_15220_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	416.0	0.0	416.0
KiCS0005_300238	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	35.0	0.0
KiCS0008_289185	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	110.0	47.0	0.0	0.0	110.0	0.0
KiCS0010_270647	0.0	0.0	0.0	0.0	1233.0	0.0	2187.0	0	255.0	2416	3220.0	0.0	0.0	0.0	0.0	9311.0	0.0
KiCS0015_18_7567	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	32.0	0.0	0.0	0.0	0.0
KiCS0016_270650	2.0	3041.0	0.0	0.0	15.0	2422.0	834.0	1522	147.0	4799	0.0	0.0	0.0	52.0	0.0	12782.0	52.0
KiCS0025_307284	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	92.0	0.0	92.0
KiCS0030_273368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	32.0	34.0	0.0	0.0	32.0	0.0
KiCS0038_305256	0.0	1686.0	1947.0	128.0	149.0	674.0	1110.0	4342	68.0	2252	0.0	99.0	249.0	0.0	149.0	12455.0	149.0
KiCS0038_310410	0.0	795.0	2470.0	0.0	210.0	0.0	3490.0	7278	0.0	0	0.0	316.0	328.0	0.0	160.0	14559.0	160.0
KiCS0048_18_753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	33.0	34.0	187.0	0.0	221.0
KiCS0048_290132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	35.0	29.0	221.0	0.0	250.0
KiCS0051_289184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	27.0	0.0	0.0	27.0
KiCS0069_295533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	26.0	0	3008.0	39.0	50.0	32.0	0.0	3073.0	32.0
KiCS0074_20_10579_A_02_00	0.0	250.0	0.0	0.0	0.0	0.0	0.0	643	0.0	0	0.0	0.0	0.0	0.0	0.0	893.0	0.0
KiCS0091_18_14899_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2235	47.0	0	0.0	0.0	0.0	0.0	110.0	2282.0	110.0
KiCS0092_19_18518_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1170	0.0	0.0	0.0	0.0	0.0	1170.0	0.0
KiCS0092_319682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	879	0.0	0.0	0.0	0.0	0.0	879.0	0.0
KiCS0092_329766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1268	0.0	0	0.0	0.0	0.0	0.0	0.0	1268.0	0.0
KiCS0093_314662	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
KiCS0103_304770	0.0	935.0	0.0	1801.0	0.0	200.0	0.0	0	0.0	3330	0.0	63.0	0.0	0.0	0.0	6329.0	0.0
KiCS0106_302802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
KiCS0119_307642	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
KiCS0145_314010	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
KiCS0154_18_752	0.0	0.0	0.0	0.0	92.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	92.0	0.0
KiCS0162_317276	5.0	378.0	0.0	0.0	0.0	0.0	0.0	561	0.0	0	0.0	0.0	0.0	0.0	0.0	944.0	0.0
KiCS0165_317832	0.0	0.0	514.0	0.0	1559.0	0.0	0.0	0	25.0	1773	1755.0	73.0	28.0	0.0	0.0	5699.0	0.0
KiCS0184_324069	0.0	141.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	141.0	0.0
KiCS0194_328185	0.0	431.0	2526.0	0.0	1918.0	245.0	769.0	6070	281.0	0	0.0	0.0	0.0	0.0	0.0	12240.0	0.0
KiCS0197_20_1402_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1848	26.0	0	0.0	0.0	0.0	0.0	138.0	1874.0	138.0
KiCS0204_19_13898_A_02_00	33.0	0.0	2991.0	102.0	203.0	0.0	399.0	3832	124.0	0	0.0	64.0	55.0	0.0	0.0	7748.0	0.0
KiCS0209_18_1512	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	9.0	0.0
KiCS0218_18_1530	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	202.0	0.0	202.0
KiCS0218_20_11154_A_02_00	0.0	2431.0	0.0	4347.0	0.0	126.0	0.0	0	59.0	7394	0.0	0.0	0.0	87.0	0.0	14357.0	87.0
KiCS0228_18_7577	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
KiCS0249_20_423_A_02_00	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	21.0	0.0
KiCS0263_18_15764_A_03_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	170.0	0.0	170.0
KiCS0276_19_5404_A_02_00	131.0	4826.0	0.0	3312.0	0.0	1044.0	0.0	0	218.0	9223	0.0	0.0	0.0	146.0	283.0	18754.0	429.0
KiCS0282_19_8768_A_02_00	13.0	802.0	0.0	123.0	0.0	0.0	0.0	0	0.0	979	0.0	49.0	0.0	0.0	0.0	1966.0	0.0
KiCS0283_19_15299_A_02_00	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
KiCS0288_20_11147_A_02_00	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
KiCS0306_19_19567_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	36.0	0.0	0.0	0.0	36.0	0.0
KiCS0327_20_75_A_02_00	13.0	900.0	0.0	73.0	0.0	333.0	0.0	0	0.0	1523	0.0	0.0	0.0	0.0	0.0	2842.0	0.0
KiCS0329_19_12113_A_02_00	0.0	0.0	0.0	0.0	63.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	63.0	0.0
KiCS0343_19_13225_A_06_00	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
KiCS0349_19_17411_A_02_00	2345.0	0.0	1109.0	1084.0	2016.0	47.0	0.0	0	151.0	4771	4486.0	109.0	32.0	59.0	265.0	16118.0	324.0
KiCS0363_19_21783_A_02_00	160.0	803.0	0.0	1896.0	0.0	14.0	0.0	0	95.0	3027	0.0	0.0	0.0	0.0	0.0	5995.0	0.0
KiCS0365_19_19570_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	54.0	1943	2226.0	48.0	27.0	0.0	207.0	4271.0	207.0
zcc10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2185	45.0	0	0.0	0.0	0.0	0.0	0.0	2230.0	0.0
zcc100	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	12.0	0.0
zcc116	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	10.0	0.0
zcc119	0.0	1027.0	1227.0	0.0	0.0	0.0	0.0	1243	63.0	990	0.0	0.0	0.0	0.0	0.0	4550.0	0.0
zcc121	0.0	0.0	0.0	0.0	0.0	0.0	330.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	330.0	0.0
zcc130	0.0	0.0	0.0	1247.0	0.0	0.0	0.0	0	0.0	1766	0.0	51.0	0.0	0.0	94.0	3064.0	94.0
zcc131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	47.0	49.0	0.0	0.0	49.0
zcc132	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	26.0	0.0	0.0	0.0	26.0	0.0
zcc136	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	39.0	30.0	0.0	0.0	30.0
zcc138	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	25.0	0.0	28.0	25.0
zcc143	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
zcc147	0.0	754.0	0.0	0.0	66.0	0.0	0.0	0	66.0	906	0.0	0.0	0.0	0.0	0.0	1792.0	0.0
zcc154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	28.0	0	0.0	0.0	0.0	33.0	0.0	28.0	33.0
zcc156	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	57.0	0.0	0.0	57.0
zcc158	10.0	0.0	1081.0	0.0	78.0	0.0	213.0	0	67.0	714	1111.0	0.0	0.0	0.0	0.0	3274.0	0.0
zcc16	0.0	138.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	138.0	0.0
zcc160	13.0	3123.0	1932.0	507.0	0.0	107.0	0.0	2136	89.0	3660	0.0	43.0	58.0	0.0	0.0	11610.0	0.0
zcc163	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	35.0	0.0	0.0	0.0	0.0
zcc169	0.0	0.0	356.0	0.0	0.0	0.0	16.0	372	0.0	0	0.0	0.0	0.0	0.0	0.0	744.0	0.0
zcc174	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
zcc176	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
zcc187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	39.0	44.0	0.0	0.0	44.0
zcc191	0.0	0.0	338.0	0.0	633.0	1421.0	2514.0	0	0.0	2937	3703.0	147.0	49.0	0.0	0.0	11693.0	0.0
zcc194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	31.0	0.0	0.0	31.0
zcc198	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
zcc199	26.0	0.0	1697.0	155.0	0.0	225.0	0.0	0	0.0	1794	1276.0	29.0	0.0	30.0	117.0	5202.0	147.0
zcc223	0.0	627.0	0.0	0.0	0.0	0.0	0.0	0	0.0	895	0.0	0.0	0.0	0.0	0.0	1522.0	0.0
zcc225	0.0	0.0	530.0	0.0	520.0	0.0	2705.0	0	108.0	2166	3976.0	73.0	0.0	0.0	0.0	10078.0	0.0
zcc232	0.0	0.0	345.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	27.0	0.0	0.0	345.0	0.0
zcc233	0.0	0.0	0.0	0.0	0.0	3499.0	7404.0	0	148.0	6724	6884.0	151.0	72.0	107.0	302.0	24810.0	409.0
zcc242	0.0	0.0	357.0	0.0	43.0	1473.0	2610.0	2939	0.0	1572	0.0	79.0	36.0	0.0	0.0	9073.0	0.0
zcc279	0.0	0.0	839.0	0.0	4134.0	0.0	212.0	0	340.0	2655	5028.0	0.0	0.0	0.0	0.0	13208.0	0.0
zcc29	0.0	377.0	0.0	0.0	0.0	335.0	0.0	829	0.0	0	0.0	0.0	0.0	32.0	0.0	1541.0	32.0
zcc3	0.0	0.0	1044.0	0.0	0.0	0.0	0.0	1640	0.0	0	0.0	0.0	0.0	0.0	0.0	2684.0	0.0
zcc331	0.0	1332.0	810.0	2604.0	0.0	795.0	0.0	0	58.0	5220	0.0	33.0	0.0	0.0	0.0	10852.0	0.0
zcc344	63.0	866.0	1175.0	1277.0	1601.0	430.0	0.0	3181	195.0	2516	0.0	0.0	0.0	0.0	0.0	11304.0	0.0
zcc35	0.0	0.0	0.0	0.0	0.0	1112.0	0.0	1495	32.0	0	0.0	0.0	54.0	0.0	0.0	2639.0	0.0
zcc355	0.0	0.0	836.0	27.0	0.0	0.0	0.0	0	0.0	914	0.0	0.0	0.0	0.0	0.0	1777.0	0.0
zcc377	0.0	470.0	677.0	0.0	114.0	0.0	0.0	1339	36.0	0	0.0	0.0	25.0	0.0	0.0	2636.0	0.0
zcc380	0.0	0.0	0.0	0.0	0.0	326.0	0.0	0	0.0	0	0.0	0.0	0.0	37.0	0.0	326.0	37.0
zcc401	0.0	431.0	0.0	40.0	43.0	644.0	0.0	1105	58.0	588	0.0	0.0	0.0	0.0	0.0	2909.0	0.0
zcc403	0.0	56.0	0.0	1464.0	2195.0	311.0	458.0	0	221.0	2941	2647.0	0.0	0.0	0.0	0.0	10293.0	0.0
zcc48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	28.0	0.0	0.0	0.0	0.0
zcc5	0.0	0.0	2083.0	40.0	0.0	0.0	0.0	0	105.0	1119	1574.0	0.0	0.0	0.0	0.0	4921.0	0.0
zcc57	0.0	1373.0	0.0	0.0	0.0	0.0	0.0	0	25.0	0	0.0	30.0	56.0	0.0	0.0	1428.0	0.0
zcc58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	25.0	0.0	0.0	0.0	0.0
zcc63	0.0	0.0	0.0	0.0	0.0	0.0	474.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	474.0	0.0
zcc7	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	241.0	0.0
zcc77	0.0	1009.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1159	0.0	0.0	0.0	0.0	158.0	2168.0	158.0
zcc78	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
zcc8	0.0	0.0	0.0	0.0	291.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	291.0	0.0
zcc85	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	77.0	0.0	0.0	0.0	0.0
zcc9	3323.0	607.0	0.0	0.0	152.0	0.0	0.0	0	0.0	4813	0.0	0.0	495.0	0.0	0.0	8895.0	0.0
zcc90	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
zcc93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	28.0	0.0	0.0	28.0
zcc94	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	4.0	0.0
zcc95	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
zcc97	0.0	0.0	874.0	0.0	610.0	0.0	0.0	0	71.0	1018	0.0	56.0	0.0	0.0	0.0	2629.0	0.0
zcc99	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	8.0	0.0
I-H-133674-T1-2-D1-1	0.0	4325.0	4866.0	0.0	0.0	0.0	956.0	5965	246.0	4912	0.0	134.0	211.0	0.0	269.0	21404.0	269.0
I-H-135963-T1-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	30.0	0.0	0.0	0.0	0.0
I-H-135963-T2-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	54.0	0.0	0.0	0.0	0.0
KiCS0055_318143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	88.0	0.0	88.0
KiCS0074_302458	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	39.0	0.0
KiCS0154_326256	0.0	0.0	0.0	0.0	0.0	0.0	364.0	0	0.0	0	657.0	0.0	0.0	0.0	0.0	1021.0	0.0
KiCS0225_18_2571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	113.0	0.0	113.0
KiCS0241_19_7197	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
zcc107	0.0	274.0	0.0	0.0	0.0	0.0	0.0	0	0.0	278	0.0	0.0	0.0	0.0	0.0	552.0	0.0
zcc171	0.0	0.0	479.0	0.0	0.0	562.0	0.0	0	38.0	805	594.0	0.0	0.0	0.0	0.0	2478.0	0.0
zcc185	0.0	0.0	0.0	0.0	0.0	0.0	612.0	0	0.0	510	533.0	0.0	0.0	0.0	0.0	1655.0	0.0
zcc186	0.0	551.0	387.0	0.0	0.0	0.0	0.0	0	0.0	885	0.0	25.0	0.0	0.0	0.0	1848.0	0.0
zcc22	0.0	2810.0	0.0	0.0	0.0	16.0	0.0	0	39.0	2345	1955.0	35.0	0.0	50.0	105.0	7200.0	155.0
zcc227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	56.0	0.0	56.0
zcc230	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
zcc31	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
zcc365	0.0	0.0	357.0	0.0	0.0	749.0	0.0	844	28.0	639	0.0	0.0	53.0	0.0	0.0	2617.0	0.0
zcc55	0.0	1123.0	1189.0	0.0	0.0	354.0	0.0	1391	59.0	1291	0.0	27.0	0.0	0.0	0.0	5434.0	0.0
I-H-133673-T2-1-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	1321	1786.0	65.0	28.0	0.0	0.0	3172.0	0.0
I-H-135462-T1-2-D1-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11389	148.0	0	0.0	122.0	109.0	0.0	0.0	11659.0	0.0
IID_H158186_T02_01_WG01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	26.0	0.0	0.0	26.0
KiCS0032_273811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	270.0	0.0	270.0
KiCS0156_315663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	158.0	0	0.0	0.0	0.0	0.0	0.0	158.0	0.0
KiCS0182_331429	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	0.0	0.0	425.0	0.0	425.0
KiCS0220_18_748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	0.0	0	0.0	0.0	26.0	0.0	0.0	0.0	0.0
KiCS0345_20_11162_A_02_00	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15340	1210.0	11226	0.0	0.0	792.0	0.0	349.0	27776.0	349.0
zcc79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	438.0	12576	0.0	0.0	245.0	0.0	0.0	13014.0	0.0
zcc292	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8711	160.0	17592	0.0	513.0	216.0	0.0	432.0	26976.0	432.0
zcc189	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0	39.0	0	0.0	0.0	0.0	0.0	0.0	39.0	0.0
